epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,2199.42,1.09823,0.76015,1.09105,0.77642,0.66547,0.74299,0.48435,1.27139,0.99328,1.21303,0.0008516,0.0008516,0.0008516
89,2223.56,1.09113,0.76053,1.08697,0.7553,0.67582,0.7457,0.48786,1.26096,0.96139,1.2098,0.0008384,0.0008384,0.0008384
90,2248.73,1.10534,0.77786,1.101,0.8294,0.63518,0.76096,0.50913,1.22062,0.92491,1.18658,0.0008252,0.0008252,0.0008252
91,2273.48,1.07036,0.76021,1.08195,0.79323,0.67696,0.76679,0.5107,1.1956,0.90618,1.17696,0.000812,0.000812,0.000812
92,2298.17,1.08237,0.75741,1.0909,0.8054,0.67445,0.76219,0.50757,1.21773,0.9187,1.18561,0.0007988,0.0007988,0.0007988
93,2323.72,1.08793,0.74216,1.09193,0.81733,0.67983,0.77133,0.51086,1.21143,0.89183,1.19312,0.0007856,0.0007856,0.0007856
94,2349.19,1.05773,0.73256,1.08233,0.79273,0.67817,0.75802,0.49901,1.22339,0.91205,1.20612,0.0007724,0.0007724,0.0007724
95,2373.91,1.08193,0.74051,1.0918,0.75158,0.67328,0.73635,0.48698,1.23038,0.93666,1.19555,0.0007592,0.0007592,0.0007592
96,2398.42,1.07461,0.73884,1.09287,0.7972,0.65183,0.74991,0.49572,1.24223,0.95507,1.19627,0.000746,0.000746,0.000746
97,2423.17,1.05317,0.73931,1.08266,0.77422,0.67696,0.75285,0.49756,1.20362,0.91743,1.17792,0.0007328,0.0007328,0.0007328
98,2448.14,1.06628,0.73776,1.08267,0.80339,0.6705,0.76282,0.50524,1.20066,0.90996,1.18497,0.0007196,0.0007196,0.0007196
99,2472.97,1.04445,0.73572,1.09481,0.77956,0.6753,0.75757,0.50402,1.22292,0.93116,1.20335,0.0007064,0.0007064,0.0007064
100,2497.58,1.05431,0.72473,1.06519,0.81029,0.65398,0.76434,0.51256,1.21566,0.91514,1.18954,0.0006932,0.0006932,0.0006932
101,2522.67,1.04708,0.71978,1.07587,0.79925,0.67453,0.75956,0.50923,1.21762,0.91067,1.18761,0.00068,0.00068,0.00068
102,2547.66,1.04307,0.70921,1.05373,0.80601,0.67552,0.7644,0.50493,1.21619,0.90403,1.17877,0.0006668,0.0006668,0.0006668
103,2571.99,1.03954,0.70749,1.07514,0.80927,0.66762,0.75864,0.5065,1.20634,0.89254,1.18981,0.0006536,0.0006536,0.0006536
104,2596.62,1.04639,0.71208,1.07033,0.82605,0.67497,0.77292,0.51188,1.19797,0.89155,1.17827,0.0006404,0.0006404,0.0006404
105,2621.43,1.02854,0.6888,1.07358,0.79034,0.66834,0.76181,0.50369,1.23387,0.89698,1.19075,0.0006272,0.0006272,0.0006272
106,2646.64,1.04839,0.7104,1.0805,0.79318,0.69102,0.76274,0.51121,1.2174,0.889,1.18862,0.000614,0.000614,0.000614
107,2672,1.02576,0.68818,1.06178,0.78062,0.69562,0.76331,0.51495,1.2001,0.9011,1.18008,0.0006008,0.0006008,0.0006008
108,2697.46,1.04296,0.70582,1.08394,0.79969,0.68495,0.77112,0.51989,1.19207,0.87906,1.17615,0.0005876,0.0005876,0.0005876
109,2722.15,1.04123,0.70363,1.07519,0.81239,0.68988,0.77453,0.51817,1.20502,0.88543,1.18199,0.0005744,0.0005744,0.0005744
110,2747.02,1.02867,0.69566,1.06769,0.82876,0.68413,0.77028,0.51488,1.21419,0.88622,1.17956,0.0005612,0.0005612,0.0005612
111,2772.03,1.00971,0.67089,1.04744,0.80538,0.67911,0.76363,0.51071,1.20018,0.88384,1.17067,0.000548,0.000548,0.000548
112,2797.37,1.04958,0.70433,1.07065,0.78985,0.68485,0.76511,0.50702,1.21209,0.88172,1.18769,0.0005348,0.0005348,0.0005348
113,2821.44,1.02076,0.68652,1.06787,0.78582,0.68481,0.76585,0.50733,1.20895,0.88284,1.18348,0.0005216,0.0005216,0.0005216
114,2846.32,1.03145,0.6938,1.07736,0.8031,0.65973,0.75108,0.50647,1.19616,0.89983,1.17905,0.0005084,0.0005084,0.0005084
115,2870.86,1.02046,0.67539,1.05809,0.80495,0.69621,0.77466,0.51991,1.19113,0.86806,1.17477,0.0004952,0.0004952,0.0004952
116,2896.21,1.00466,0.66489,1.0512,0.78622,0.70229,0.77196,0.51781,1.21634,0.87653,1.18754,0.000482,0.000482,0.000482
117,2921.31,1.03148,0.69345,1.06673,0.78128,0.69491,0.76724,0.51523,1.2057,0.87452,1.17775,0.0004688,0.0004688,0.0004688
118,2945.98,0.99336,0.6682,1.05546,0.79504,0.69419,0.76724,0.51648,1.21404,0.91379,1.18934,0.0004556,0.0004556,0.0004556
119,2970.97,1.01124,0.664,1.06351,0.811,0.67983,0.75902,0.50812,1.22077,0.89326,1.18922,0.0004424,0.0004424,0.0004424
120,2995.79,1.00588,0.66381,1.04445,0.80713,0.68126,0.77398,0.52204,1.20154,0.86974,1.18215,0.0004292,0.0004292,0.0004292
121,3020.79,1.01054,0.65568,1.04964,0.77963,0.70711,0.77567,0.52338,1.20255,0.85965,1.1912,0.000416,0.000416,0.000416
122,3044.82,0.99424,0.6701,1.05648,0.80079,0.70208,0.7805,0.52331,1.20446,0.85405,1.18879,0.0004028,0.0004028,0.0004028
123,3069.74,0.9996,0.66115,1.0581,0.79341,0.69562,0.76711,0.5136,1.21928,0.85591,1.20401,0.0003896,0.0003896,0.0003896
124,3094.96,1.01272,0.65939,1.04799,0.83599,0.6733,0.7741,0.51946,1.21135,0.85291,1.19156,0.0003764,0.0003764,0.0003764
125,3120.01,1.01544,0.66555,1.04492,0.83753,0.66619,0.76967,0.52085,1.21557,0.8666,1.20088,0.0003632,0.0003632,0.0003632
